result_id,reported_result,reproduction_level,git_tracked_evidence,release_asset,external_dependency
B01-R13,release-drift Spearman rho 0.880952 / exact one-sided p 0.00362103,NUMERIC_RECOMPUTATION,reproduction_modules/B01/RUN13 package,A01 only for canonical lineage,No network required for archived confirmatory recomputation
B01-R21,fixed-release Spearman rho 0.952381 / exact one-sided p 0.00057044,NUMERIC_RECOMPUTATION,reproduction_modules/B01/RUN21 package,A01 only for canonical lineage,No network required for archived confirmatory recomputation
B02,31/31 local LOO route and bounded B01 association,RESULT_RECONSTRUCTION,evidence/branch_results/B02 + A01/B02 Master,A01,Public population release only for source-level rerun
B03,NO_GO_PUBLIC_ASSETS_INSUFFICIENT,BOUNDARY_REPRODUCTION,evidence/branch_results/B03 + A01/B03 Master,A01,No numerical estimator authorized
B04,44/44 af headers; 0 qualifying support declarations; HOLD,SCHEMA_AUDIT_REPRODUCTION,evidence/branch_results/B04 + A01/B04 Master,A01,DCC archive only for source-level rerun
B05,"1510 union, 1328 shared, 182 release-only and transition/turnover counts",RESULT_RECONSTRUCTION,evidence/branch_results/B05 + A01/B05 Master,A01,Public candidate/GWOSC assets for full source rerun
B06,"5174/5345 complete, 171 calibration-limited; 40-row bounded cohort",RESULT_RECONSTRUCTION,evidence/branch_results/B06 + A01/B06 Master,A01,GWOSC/DCC reacquisition for raw strain rerun
B07,no compatible replication test executed,BOUNDARY_REPRODUCTION,evidence/branch_results/B07 + A01/B07 Master,A01,No replication outcome to regenerate
B08-primary,10/12 primary; C01-C10 metrics,RAW_NUMERIC_RECOMPUTATION_VIA_RELEASE_ASSETS,reproduction_modules/B08 + evidence/branch_results/B08_GWBH-SSIDA,A01 + A02,No network required for final metric recomputation; A01 supplies small canonical lineage inputs and A02 supplies all large posterior payloads
B08-robust,17/17 robustness; R17 highlighted metrics,RAW_NUMERIC_RECOMPUTATION_VIA_RELEASE_ASSETS,reproduction_modules/B08 + evidence/branch_results/B08_GWBH-SSIDA,A01 + A02,No network required for final metric recomputation; A01 supplies small canonical lineage inputs and A02 supplies all large posterior payloads
B08-posthoc,D01-D02 post-hoc GW170817 grid-density diagnostics; primary C11/C12 status unchanged,RAW_NUMERIC_RECOMPUTATION_VIA_RELEASE_ASSETS,reproduction_modules/B08 + evidence/branch_results/B08_GWBH-SSIDA,A01 + A02,No network required; official frozen conversion is reproduced with seed 42 and N=50000
XBICA-pairs,28 pair identity-anchor matrix,DETERMINISTIC_RECONSTRUCTION,evidence/final_project/DIRECT_PROJECT_CLOSURE,A01,No historical RUN archive required
XBICA-edges,16 edges: 8 partial / 3 identity / 3 blocked asset / 2 blocked schema / 0 direct numeric,DETERMINISTIC_RECONSTRUCTION,evidence/final_project/DIRECT_PROJECT_CLOSURE,A01,No historical RUN archive required
Claims,allowed/forbidden claims and U01-U09 reopen register,DOCUMENTARY_REPRODUCTION,evidence/final_project/DIRECT_PROJECT_CLOSURE,A01,No historical RUN archive required
POSTCLOSURE-B04-U02,Zenodo 21454847 schema/provenance-only reopen decision,DETERMINISTIC_GATE_DECISION,evidence/post_closure_extensions/B04_U02/DECISION.json,A03/A04 include the same parent reference,No numerical analysis authorized; no P02/M01 values required
POSTCLOSURE-U03,all-22 GWTC-5.0 alternate-triad summary-screening calibration,DERIVED_RESULT_AND_INDEPENDENT_REPLAY,evidence/post_closure_extensions/U03_GWTC5,A03,Official GWTC-5.0 PE summary/event files required only for source-level rerun
POSTCLOSURE-XR01,all-44 GWTC-4.1 conceptual transport,DERIVED_RESULT_AND_INDEPENDENT_REPLAY,evidence/post_closure_extensions/XR01_GWTC41,A04,Official GWTC-4.1 PE summary/event files required only for source-level rerun
