path,size_bytes,sha256
CANONICAL_LINEAGE/GWBHSSIDA_PHASE7_RUN01_v0.8.0_RESULTS_FOR_REVIEW.zip,5138719,b847984ad30a59143c4ea2792ef9bf7fdb3573628f609afad5446f3927b0dcca
CANONICAL_LINEAGE/GWBHSSIDA_PHASE7_RUN01_v0.8.0_RESULTS_FOR_REVIEW.zip.sha256,119,6fafaee236f08edfcb0f91e39d3e15301c0cc4e31e167c35996af03d9e6ae911
DIRECT_FINAL_CLOSURE/ALLOWED_CLAIMS.json,2269,0f3c84400dfa6a82dea66f00884f0b14b563a9b9472a7c569c96ceed40f2995a
DIRECT_FINAL_CLOSURE/ALLOWED_CLAIMS.md,1549,2c69948e41c77baac7089ca013aa4e3644db0ea92c8bac5f4c98f4dc9f59e33f
DIRECT_FINAL_CLOSURE/CROSS_BRANCH_EDGE_REGISTER.csv,1496,8474cf7feb01f93a81c8998508288d365f29d5ab4c7ee43316bf1c5ba01d0327
DIRECT_FINAL_CLOSURE/CROSS_BRANCH_ROUTE_DEPENDENCY_MATRIX.csv,4654,654a592bb66fae01432cc391bbe642c8da9b8faacd6da8a6cd3388234850c577
DIRECT_FINAL_CLOSURE/CROSS_MODEL_ROBUSTNESS_MATRIX.csv,2325,57acf7fc7d99f737c6e476e9ab498336dda08a6c3631623b4257ed3a31537559
DIRECT_FINAL_CLOSURE/FINAL_BOUNDARY_AUDIT.json,364,cd3b18e1456e20bccc6022afd4340276eca28d0e8ffffe6f521bdd13c1befd00
DIRECT_FINAL_CLOSURE/FINAL_CROSS_BRANCH_SUMMARY.json,617,9df4e2db22789239fc30173557ca4d55c718e0cd4e42abd7b0df5459d7ed17cf
DIRECT_FINAL_CLOSURE/FINAL_SCIENTIFIC_CLOSURE.md,1882,5de1e67f3e83bca5f1e0842b20f4dc62a34533f848093bea5a6b55cd9b4c48e6
DIRECT_FINAL_CLOSURE/FINAL_UNRESOLVED_REGISTER.json,1643,1171db8fb05bb0619895761c22d2e8bc7211fd079f7ec04ebabc1c0fafa4e1cd
DIRECT_FINAL_CLOSURE/FORBIDDEN_CLAIMS.json,1390,b445aa845382e2cd8572eff3e077cc6d142cbfa317840a0a8af5fe8a03071b80
DIRECT_FINAL_CLOSURE/FORBIDDEN_CLAIMS.md,1164,1f5c58aa9fe26736275614127d4dad31f06cbb999ff6f437d488fef432ff5d74
DIRECT_FINAL_CLOSURE/H0_POSTERIOR_SUMMARY_CORRECTED.csv,2690,c539557f6528648e98a80db35ea0c2467bc472a613034b45b1cad2fc576f0b3b
DIRECT_FINAL_CLOSURE/INDEPENDENT_REVIEW.json,1060,8d153797862ca99a73a14a80a998cb0a825274ea2ea6489f2c41f2dfc2d7d80c
DIRECT_FINAL_CLOSURE/KEY_NUMERIC_FINDINGS.csv,2168,6376b9280f29ce8bbc7fd2534bf9bff833d25aaa9daa3beb0423b49c1bb3854e
DIRECT_FINAL_CLOSURE/NUMERICAL_PROPAGATION_AUDIT.json,375,09264b0c0ab65be51808f735516b32621e8ca52205900cc309f4726cfaf80b14
DIRECT_FINAL_CLOSURE/P01_P06_DISPOSITION.json,2349,b3192a5e984b2114dbb5f91b7d4929791e732ea5ad0f1b05ed33591eb3ddf2ca
DIRECT_FINAL_CLOSURE/PAIRED_DEPENDENCY_METRICS_CORRECTED.csv,2868,f84e6f61b1647dbc14b714b5bfa23e3bd491e738f71945e5cf7f4fdc73100fd0
DIRECT_FINAL_CLOSURE/PHASE7_FINAL_REPORT.json,1131,7e86ac726fb370083cb52b71c2edce3fd6427c2e8e7a9523be57bcc5a3b2649b
DIRECT_FINAL_CLOSURE/POSTHOC_BRIGHT_DIAGNOSTIC_METRICS.csv,709,f35355884d36e59c91e9a828a8853f79e9f09c9393782ffb708df6ef6e1ef869
DIRECT_FINAL_CLOSURE/POSTHOC_BRIGHT_DIAGNOSTIC_PROVENANCE.json,519,a4a99097dcbfcac05c153c4d2874c4889f6598ad11d9fca5e2c211ff90dbf4de
DIRECT_FINAL_CLOSURE/PUBLISHED_SUMMARY_CROSSCHECK_CORRECTED.csv,932,fc440c85906baa5f4a6c00533af913574fc60aa8da2b29246b0a2eff03b6db74
DIRECT_FINAL_CLOSURE/RESULT_STATUS.json,377,7fa12c5bd525c5ff4897b512083e9ec262340c12c2eda36f4fcf37761fd3f5fb
DIRECT_FINAL_CLOSURE/ROBUSTNESS_PAIRED_METRICS.csv,3231,778ce865ebe78303aee68dcd584302bc6155bd2c470fda227aa935320dee2bb0
DIRECT_FINAL_CLOSURE/RUN01_INVALIDATED_CELLS.json,807,bf28d8f0d39f00289edc37c0516afa28294bf5dc1f45cc5e246075d651082df4
DIRECT_FINAL_CLOSURE/SCIENTIFIC_SYNTHESIS_REPORT.json,2580,a8af04e2e338b81dc0b92d99e2fa16a4aad91d2e942a4f317d4c93cfc1ce7109
EXTERNAL_EVIDENCE/FINAL_EVIDENCE_SET.json,1721,220dd3a9cf5b4a5209d771b514a61a8097ab005c2541106aea2f220d8b8e642c
EXTERNAL_EVIDENCE/PHASE3_PRIMARY_LARGE_EVIDENCE_PAYLOAD_MANIFEST.csv,1472,d46dfc9dac6ea88080322f6beb8cf0cf45a1a097da287f5f89778a85a6632441
