id,dimension,a,b,status,delta_median,width68_ratio,normalized_w1,central68_overlap,interpretation
C01,PIPELINE,gwcosmo_fullpop_spectral.json,icarogw_fullpop_spectral.json,PASS,2.8955637120747326,1.0527714566660618,0.1621104503074619,0.9173705883433968,Same FullPop spectral LambdaCDM frame; pipeline output dependence.
C02,ROUTE,gwcosmo_fullpop_spectral.json,gwcosmo_fullpop_des_lum.json,PASS,-1.0820144508839604,0.949088158911582,0.07933426606681653,0.9714209227859119,Spectral vs DES Y6 luminosity-weighted dark-siren route within gwcosmo FullPop.
C03,CATALOG,gwcosmo_fullpop_des_lum.json,gwcosmo_fullpop_glade_lum.json,PASS,4.243120349586178,1.033706517219101,0.24528009999761163,0.8533677381152489,DES Y6 vs GLADE+ at FullPop/luminosity weighting.
C04,WEIGHTING_DES,gwcosmo_fullpop_des_lum.json,gwcosmo_fullpop_des_uni.json,PASS,2.2421251034304674,0.9861521036971169,0.1462934934609896,0.9086149019968605,Luminosity vs uniform weighting within DES Y6 FullPop.
C05,WEIGHTING_GLADE,gwcosmo_fullpop_glade_lum.json,gwcosmo_fullpop_glade_uni.json,PASS,-2.3680551249995574,1.0152928120456797,0.12754421170550276,0.9219626403064222,Luminosity vs uniform weighting within GLADE+ FullPop.
C06,POPULATION_MODEL,gwcosmo_fullpop_spectral.json,gwcosmo_bpl3p_spectral.json,PASS,4.059848283750185,0.9918839357903821,0.21730054498421658,0.8582516707137742,"FullPop vs BPL3P spectral, both 235-CBC frame per public README."
C07,POPULATION_PLUS_FRAME_CONFOUNDED,gwcosmo_fullpop_spectral.json,gwcosmo_mltp_spectral.json,PASS,-0.21449809334451686,1.3576037679330688,0.17617660077025754,1.0,FullPop 235-CBC vs MLTP 231-BBH; do not attribute difference purely to population model.
C08,IFAR_ROBUSTNESS_SPECTRAL,gwcosmo_fullpop_spectral.json,gwcosmo_ifar1_fullpop_spectral.json,PASS,-9.066239218011262,0.8394569302122481,0.558195633871285,0.6803638675943381,Published IFAR validation comparison; descriptive only.
C09,IFAR_ROBUSTNESS_DARK_DES,gwcosmo_fullpop_des_lum.json,gwcosmo_ifar1_fullpop_des_lum.json,PASS,-7.967736055397857,0.8853905631109827,0.5174424538039113,0.6885073585284045,Published IFAR validation comparison for DES/lum route; descriptive only.
C10,FINAL_ROUTE_AFTER_BRIGHT_COMBINATION,H0_spectral_combined_gw170817.json,H0_dark_combined_gw170817.json,PASS,-1.2284135943088188,0.8961691428415876,0.1291205795185742,0.9653504849920194,Official final spectral+GW170817 versus dark+GW170817 posterior products.
C11,BRIGHT_TO_FINAL_SPECTRAL,GW170817_H0_posterior.json,H0_spectral_combined_gw170817.json,PUBLIC_OUTPUT_LIMITED_GRID_DENSITY_NOT_SAMPLES,,,,,"Bright-only versus final spectral+bright; combination effect, not a pure route effect."
C12,BRIGHT_TO_FINAL_DARK,GW170817_H0_posterior.json,H0_dark_combined_gw170817.json,PUBLIC_OUTPUT_LIMITED_GRID_DENSITY_NOT_SAMPLES,,,,,"Bright-only versus final dark+bright; combination effect, not a pure route effect."
