pair_id,event_id,source_run,source_field,source_value,corrected_value,correction_reason,numeric_impact,claim_impact
PAIR00018,GW230601_224134,PHASE6_RUN01_v0.7.0,CONFIG_DIFFERENCE_AUDIT.config_equal_except_mode,true,NOT_EVALUATED,RUN01_COMPARED_EMPTY_CANONICAL_MAPS_AFTER_CONFIG_PARSE_FAILURE,NONE_NUMERIC_NOT_RUN,RUN01_TRUE_MUST_NOT_BE_USED_AS_CONFIG_EQUALITY_EVIDENCE
PAIR00063,GW230609_064958,PHASE6_RUN01_v0.7.0,CONFIG_DIFFERENCE_AUDIT.config_equal_except_mode,true,NOT_EVALUATED,RUN01_COMPARED_EMPTY_CANONICAL_MAPS_AFTER_CONFIG_PARSE_FAILURE,NONE_NUMERIC_NOT_RUN,RUN01_TRUE_MUST_NOT_BE_USED_AS_CONFIG_EQUALITY_EVIDENCE
PAIR00106,GW230628_231200,PHASE6_RUN01_v0.7.0,CONFIG_DIFFERENCE_AUDIT.config_equal_except_mode,true,NOT_EVALUATED,RUN01_COMPARED_EMPTY_CANONICAL_MAPS_AFTER_CONFIG_PARSE_FAILURE,NONE_NUMERIC_NOT_RUN,RUN01_TRUE_MUST_NOT_BE_USED_AS_CONFIG_EQUALITY_EVIDENCE
PAIR00144,GW230811_032116,PHASE6_RUN01_v0.7.0,CONFIG_DIFFERENCE_AUDIT.config_equal_except_mode,true,NOT_EVALUATED,RUN01_COMPARED_EMPTY_CANONICAL_MAPS_AFTER_CONFIG_PARSE_FAILURE,NONE_NUMERIC_NOT_RUN,RUN01_TRUE_MUST_NOT_BE_USED_AS_CONFIG_EQUALITY_EVIDENCE
PAIR00187,GW230814_061920,PHASE6_RUN01_v0.7.0,CONFIG_DIFFERENCE_AUDIT.config_equal_except_mode,true,NOT_EVALUATED,RUN01_COMPARED_EMPTY_CANONICAL_MAPS_AFTER_CONFIG_PARSE_FAILURE,NONE_NUMERIC_NOT_RUN,RUN01_TRUE_MUST_NOT_BE_USED_AS_CONFIG_EQUALITY_EVIDENCE
PAIR00225,GW230824_033047,PHASE6_RUN01_v0.7.0,CONFIG_DIFFERENCE_AUDIT.config_equal_except_mode,true,NOT_EVALUATED,RUN01_COMPARED_EMPTY_CANONICAL_MAPS_AFTER_CONFIG_PARSE_FAILURE,NONE_NUMERIC_NOT_RUN,RUN01_TRUE_MUST_NOT_BE_USED_AS_CONFIG_EQUALITY_EVIDENCE
PAIR00270,GW230914_111401,PHASE6_RUN01_v0.7.0,CONFIG_DIFFERENCE_AUDIT.config_equal_except_mode,true,NOT_EVALUATED,RUN01_COMPARED_EMPTY_CANONICAL_MAPS_AFTER_CONFIG_PARSE_FAILURE,NONE_NUMERIC_NOT_RUN,RUN01_TRUE_MUST_NOT_BE_USED_AS_CONFIG_EQUALITY_EVIDENCE
PAIR00315,GW230922_020344,PHASE6_RUN01_v0.7.0,CONFIG_DIFFERENCE_AUDIT.config_equal_except_mode,true,NOT_EVALUATED,RUN01_COMPARED_EMPTY_CANONICAL_MAPS_AFTER_CONFIG_PARSE_FAILURE,NONE_NUMERIC_NOT_RUN,RUN01_TRUE_MUST_NOT_BE_USED_AS_CONFIG_EQUALITY_EVIDENCE
PAIR00360,GW230922_040658,PHASE6_RUN01_v0.7.0,CONFIG_DIFFERENCE_AUDIT.config_equal_except_mode,true,NOT_EVALUATED,RUN01_COMPARED_EMPTY_CANONICAL_MAPS_AFTER_CONFIG_PARSE_FAILURE,NONE_NUMERIC_NOT_RUN,RUN01_TRUE_MUST_NOT_BE_USED_AS_CONFIG_EQUALITY_EVIDENCE
PAIR00405,GW230924_124453,PHASE6_RUN01_v0.7.0,CONFIG_DIFFERENCE_AUDIT.config_equal_except_mode,true,NOT_EVALUATED,RUN01_COMPARED_EMPTY_CANONICAL_MAPS_AFTER_CONFIG_PARSE_FAILURE,NONE_NUMERIC_NOT_RUN,RUN01_TRUE_MUST_NOT_BE_USED_AS_CONFIG_EQUALITY_EVIDENCE
PAIR00450,GW230927_043729,PHASE6_RUN01_v0.7.0,CONFIG_DIFFERENCE_AUDIT.config_equal_except_mode,true,NOT_EVALUATED,RUN01_COMPARED_EMPTY_CANONICAL_MAPS_AFTER_CONFIG_PARSE_FAILURE,NONE_NUMERIC_NOT_RUN,RUN01_TRUE_MUST_NOT_BE_USED_AS_CONFIG_EQUALITY_EVIDENCE
PAIR00495,GW230927_153832,PHASE6_RUN01_v0.7.0,CONFIG_DIFFERENCE_AUDIT.config_equal_except_mode,true,NOT_EVALUATED,RUN01_COMPARED_EMPTY_CANONICAL_MAPS_AFTER_CONFIG_PARSE_FAILURE,NONE_NUMERIC_NOT_RUN,RUN01_TRUE_MUST_NOT_BE_USED_AS_CONFIG_EQUALITY_EVIDENCE
PAIR00540,GW230928_215827,PHASE6_RUN01_v0.7.0,CONFIG_DIFFERENCE_AUDIT.config_equal_except_mode,true,NOT_EVALUATED,RUN01_COMPARED_EMPTY_CANONICAL_MAPS_AFTER_CONFIG_PARSE_FAILURE,NONE_NUMERIC_NOT_RUN,RUN01_TRUE_MUST_NOT_BE_USED_AS_CONFIG_EQUALITY_EVIDENCE
PAIR00583,GW231001_140220,PHASE6_RUN01_v0.7.0,CONFIG_DIFFERENCE_AUDIT.config_equal_except_mode,true,NOT_EVALUATED,RUN01_COMPARED_EMPTY_CANONICAL_MAPS_AFTER_CONFIG_PARSE_FAILURE,NONE_NUMERIC_NOT_RUN,RUN01_TRUE_MUST_NOT_BE_USED_AS_CONFIG_EQUALITY_EVIDENCE
PAIR00621,GW231028_153006,PHASE6_RUN01_v0.7.0,CONFIG_DIFFERENCE_AUDIT.config_equal_except_mode,true,NOT_EVALUATED,RUN01_COMPARED_EMPTY_CANONICAL_MAPS_AFTER_CONFIG_PARSE_FAILURE,NONE_NUMERIC_NOT_RUN,RUN01_TRUE_MUST_NOT_BE_USED_AS_CONFIG_EQUALITY_EVIDENCE
PAIR00666,GW231102_071736,PHASE6_RUN01_v0.7.0,CONFIG_DIFFERENCE_AUDIT.config_equal_except_mode,true,NOT_EVALUATED,RUN01_COMPARED_EMPTY_CANONICAL_MAPS_AFTER_CONFIG_PARSE_FAILURE,NONE_NUMERIC_NOT_RUN,RUN01_TRUE_MUST_NOT_BE_USED_AS_CONFIG_EQUALITY_EVIDENCE
PAIR00711,GW231108_125142,PHASE6_RUN01_v0.7.0,CONFIG_DIFFERENCE_AUDIT.config_equal_except_mode,true,NOT_EVALUATED,RUN01_COMPARED_EMPTY_CANONICAL_MAPS_AFTER_CONFIG_PARSE_FAILURE,NONE_NUMERIC_NOT_RUN,RUN01_TRUE_MUST_NOT_BE_USED_AS_CONFIG_EQUALITY_EVIDENCE
