sequence,artifact_filename,artifact_sha256,role,external_adjudication,purpose
1,GWBHDCIDA_PHASE0_RUN02_v0.1.1_RESULTS_FOR_REVIEW.zip,010f10c105be1c7654ff504c8ff280dd72b3d28a01425889c690c5b59b796d4f,CANONICAL_PHASE,GO_SUMMARY_ONLY,Public feasibility / source gate
2,GWBHDCIDA_PHASE1_RUN03_v0.2.2_RESULTS_FOR_REVIEW.zip,b6db61d2b4765c31d889a4010d9cbb4199ee92a3361fa95682090503c3a93a74,CANONICAL_PHASE,SCHEMA_GATE_PASS,Schema and source freeze
3,GWBHDCIDA_PHASE2_RUN03_v0.3.2_RESULTS_FOR_REVIEW.zip,f4ea865f2baa48e4d227e791a7f43ecf072c578265eef849e0542b05a78a20cc,CANONICAL_PHASE,MAPPING_FREEZE_PASS,Claim-to-field mapping freeze
4,GWBHDCIDA_PHASE3_RUN03_v0.4.2_RESULTS_FOR_REVIEW.zip,3de4efa7ae3dbe0e553ec26a4a9b135ddfb577c6e4555267047d890fa027e47d,CANONICAL_PHASE,CONFIRMATORY_CONTRACT_FROZEN,Confirmatory contract freeze
5,GWBHDCIDA_PHASE4_RUN02_v0.5.1_RESULTS_FOR_REVIEW.zip,9e82c20b7159e4bf5e0d5ab6f838d7ce036775570b3fe158ba1f248b32412071,CANONICAL_COMPONENT,CANONICAL_EXTRACTION_COMPONENT,Controlled event-level extraction base
6,GWBHDCIDA_PHASE4_RUN03_v0.5.2_RESULTS_FOR_REVIEW.zip,c49a3bb38500508a37764ae78cab0711cdef0ef00c0f48ec0b23d270fef9c435,CANONICAL_PHASE,EXTRACTION_REVIEW_PASS,Identity adjudication and extraction closure
7,GWBHDCIDA_PHASE5_RUN01_v0.6.0_RESULTS_FOR_REVIEW.zip,73940df24a7a48c84b3b2e9b1dd7cc08553fbb2556df7210e4615cba19e259d9,CANONICAL_PHASE,PIPELINE_RESULT_BOUNDED_COMPLETE,Pipeline-dependency audit
8,GWBHDCIDA_PHASE6_RUN02_v0.7.1_RESULTS_FOR_REVIEW.zip,4a1edfc165c6b8eee20685331d92ee89145faef09cac4d74e0cea0e169c07b94,CANONICAL_COMPONENT,CANONICAL_SURFACE_COMPONENT,GWOSC source snapshot / surface linkage
9,GWBHDCIDA_PHASE6_RUN03_v0.7.2_RESULTS_FOR_REVIEW.zip,354ea843a24a3e7b5cb8aa5785d96799e778b6294e3fd267088231a3abd00650,CANONICAL_PHASE,CATALOG_RESULT_BOUNDED_COMPLETE,Catalog/surface synthesis closure
10,GWBHDCIDA_PHASE7_RUN01_v0.8.0_RESULTS_FOR_REVIEW.zip,f694a92ce2fe5f9a4b345dc42c93057c3758534001bad37d357a2e75603e55d8,CANONICAL_PHASE,ROBUSTNESS_GATE_PASS,Robustness hard-stop
11,GWBHDCIDA_PHASE8_RUN01_v0.9.0_RESULTS_FOR_REVIEW.zip,a0ce800eaf178c0f7dfa70456fa17662086292f487ae2dba8ac45679db5eac23,CANONICAL_PHASE,FINAL_CLOSED,Scientific synthesis / final closure
